DogName,CollarID,x,y,Timestamp,DOP,State,Sex
Abel,27416,24.229144,-18.3347095,2018-12-31T21:00:34Z,1,Resident,M
Abel,27416,24.229072,-18.334176,2018-12-31T19:00:22Z,1.4,Resident,M
Abel,27416,24.2243713,-18.3354494,2018-12-31T17:00:13Z,1.2,Resident,M
Abel,27416,24.2160033,-18.3388444,2018-12-31T15:00:57Z,1.6,Resident,M
Abel,27416,24.2138217,-18.3358212,2018-12-31T07:00:38Z,1.2,Resident,M
Abel,27416,24.2504799,-18.3073964,2018-12-31T03:00:24Z,1.2,Resident,M
Abel,27416,24.2506059,-18.3070632,2018-12-30T23:00:38Z,1,Resident,M
Abel,27416,24.2506359,-18.3071696,2018-12-30T19:00:19Z,1.2,Resident,M
Abel,27416,24.2540886,-18.3044698,2018-12-30T15:01:20Z,1.2,Resident,M
Abel,27416,24.2539811,-18.3041016,2018-12-30T07:00:35Z,1,Resident,M
Abel,27416,24.255545,-18.2973342,2018-12-30T03:00:40Z,1,Resident,M
Abel,27416,24.2553164,-18.2973512,2018-12-29T23:00:22Z,1.6,Resident,M
Abel,27416,24.2548477,-18.2974802,2018-12-29T19:00:35Z,1.2,Resident,M
Abel,27416,24.2570087,-18.2546679,2018-12-29T15:00:39Z,1.4,Resident,M
Abel,27416,24.2726783,-18.2724837,2018-12-29T07:00:22Z,1.2,Resident,M
Abel,27416,24.2750645,-18.2770684,2018-12-29T03:00:39Z,1.2,Resident,M
Abel,27416,24.2893253,-18.2691942,2018-12-28T23:00:39Z,1.2,Resident,M
Abel,27416,24.2892869,-18.2692477,2018-12-28T19:00:41Z,1.4,Resident,M
Abel,27416,24.2764404,-18.2109458,2018-12-28T15:00:38Z,1,Resident,M
Abel,27416,24.2763606,-18.2111127,2018-12-28T07:00:38Z,1,Resident,M
Abel,27416,24.3065223,-18.2414157,2018-12-28T03:00:18Z,1.4,Resident,M
Abel,27416,24.2652537,-18.2521989,2018-12-27T23:00:18Z,1.2,Resident,M
Abel,27416,24.2649559,-18.2525109,2018-12-27T19:00:23Z,1.4,Resident,M
Abel,27416,24.2278953,-18.2560845,2018-12-27T15:01:56Z,1.6,Resident,M
Abel,27416,24.2278906,-18.2560796,2018-12-27T07:00:39Z,1.2,Resident,M
Abel,27416,24.2549292,-18.2531195,2018-12-27T03:00:40Z,1,Resident,M
Abel,27416,24.2546796,-18.2531626,2018-12-26T23:00:27Z,1.2,Resident,M
Abel,27416,24.2548013,-18.2533407,2018-12-26T19:00:43Z,1.2,Resident,M
Abel,27416,24.265196,-18.2452711,2018-12-26T15:00:39Z,1.4,Resident,M
Abel,27416,24.2653465,-18.2452244,2018-12-26T07:00:40Z,1.2,Resident,M
Abel,27416,24.2599399,-18.2834694,2018-12-26T03:00:39Z,1.2,Resident,M
Abel,27416,24.2478122,-18.297811,2018-12-25T23:00:19Z,1.2,Resident,M
Abel,27416,24.2269391,-18.2712041,2018-12-25T19:00:39Z,1.2,Resident,M
Abel,27416,24.2280083,-18.2565283,2018-12-25T15:00:38Z,1.2,Resident,M
Abel,27416,24.2279462,-18.2565491,2018-12-25T09:00:17Z,1,Resident,M
Abel,27416,24.2280833,-18.2565797,2018-12-25T07:00:38Z,1,Resident,M
Abel,27416,24.2280846,-18.2568824,2018-12-25T05:00:15Z,1,Resident,M
Abel,27416,24.2389893,-18.2688498,2018-12-25T03:00:38Z,1,Resident,M
Abel,27416,24.2389923,-18.2688244,2018-12-25T01:00:34Z,1.2,Resident,M
Abel,27416,24.2458081,-18.2613869,2018-12-24T23:00:12Z,1.2,Resident,M
Abel,27416,24.2459742,-18.2612105,2018-12-24T21:00:20Z,1.4,Resident,M
Abel,27416,24.2460099,-18.261191,2018-12-24T19:00:38Z,1.2,Resident,M
Abel,27416,24.2460623,-18.2611823,2018-12-24T17:00:22Z,1.2,Resident,M
